quarter_index_zero_based,coarse_increment_mwh,native_increment_mwh,signed_discrepancy_mwh
3460,-0.0,-0.00010091700748399786,0.00010091700748399786
3461,-0.0,-5.232687251640731e-05,5.232687251640731e-05
3462,-0.0,-0.0002340999290140992,0.0002340999290140992
3463,-0.0,-9.837147684386655e-05,9.837147684386655e-05
3464,-0.0,-0.00016506823469188616,0.00016506823469188616
3465,-0.0,-1.1899976849900397e-05,1.1899976849900397e-05
3466,-0.0,-5.976630214773178e-06,5.976630214773178e-06
3467,-0.0,-3.7862687749590755e-05,3.7862687749590755e-05
3468,-0.0,-0.00012891526933600996,0.00012891526933600996
3469,-0.0,-0.00040534598406102,0.00040534598406102
3470,-0.0,-7.053799213338319e-05,7.053799213338319e-05
3471,-0.0,-6.84361829944732e-05,6.84361829944732e-05
3472,0.015485547548045006,0.015485547548045002,3.469446951953614e-18
3473,3.7504721550618565e-17,-0.00016169109850959045,0.00016169109850962797
3474,0.023583056620902276,0.023583056620902276,0.0
3475,0.0270438713858899,0.0270438713858899,0.0
3476,0.009691946384153346,0.009065913251437765,0.0006260331327155814
3477,0.016375947970943223,0.01623906202840391,0.00013688594253931374
3478,0.017532285211581324,0.01731845088489445,0.00021383432668687502
3479,0.018703926489459097,0.0186445935272029,5.933296225619708e-05
3480,-0.054853566494765804,-0.05586552193916691,0.001011955444401108
3481,-0.04786428636859804,-0.0479355748056964,7.128843709836019e-05
3482,-0.010468965921492726,-0.011849813318965719,0.001380847397472993
3483,0.021603449525097997,0.021603449525097997,0.0
3484,-0.03370229819314915,-0.03508060831866616,0.001378310125517014
3485,-0.0031309141580665315,-0.004548373920045538,0.0014174597619790062
3486,-0.0,-0.00017585146983354274,0.00017585146983354274
3487,-0.0,-0.00021499384418306787,0.00021499384418306787
3488,-0.0,-1.2172268356654237e-05,1.2172268356654237e-05
3489,-0.0,-0.000342510828527125,0.000342510828527125
3490,-0.0,-7.963175437496053e-05,7.963175437496053e-05
3491,-0.0,-4.6875977540737174e-05,4.6875977540737174e-05
3492,-0.0,-0.0004534626722254092,0.0004534626722254092
3493,-0.0,-0.0003678056074641825,0.0003678056074641825
3494,-0.0,-0.00013012618979415809,0.00013012618979415809
3495,-0.0,-0.0002110703463263672,0.0002110703463263672
3496,-0.0,-0.0010357935208833889,0.0010357935208833889
3497,-0.0,-0.0005791570791138851,0.0005791570791138851
3498,-0.0,-0.0007797355334050386,0.0007797355334050386
3499,-0.0,-0.0007531734156171301,0.0007531734156171301
3500,-0.0,-0.0006983191012242569,0.0006983191012242569
3501,-0.0,-0.00019976367588543968,0.00019976367588543968
3502,-0.0,-5.930062058072332e-05,5.930062058072332e-05
3503,-0.0,-0.0003704714904854183,0.0003704714904854183
3504,-0.0,-0.0002920773640765103,0.0002920773640765103
3505,-0.0,-6.19829879788911e-05,6.19829879788911e-05
3506,-0.0,-8.341502762942006e-05,8.341502762942006e-05
3507,-0.0,-3.009346263000702e-05,3.009346263000702e-05
3508,0.019589260274018392,0.01958926027401839,3.469446951953614e-18
3509,2.2828960943854782e-17,-0.000548343158959932,0.0005483431589599549
3510,0.022853914853113166,0.02285391485311317,-3.469446951953614e-18
3511,0.02880728609690145,0.02880728609690145,0.0
3512,0.029044660168706955,0.029044660168706958,-3.469446951953614e-18
3513,0.02262497842638232,0.022624978426382315,3.469446951953614e-18
3514,0.016002606565368744,0.015868524749598607,0.00013408181577013664
3515,0.017113564296856284,0.016993598508804855,0.00011996578805142932
3516,0.02788267767984081,0.02788267767984081,0.0
3517,0.03325306644618467,0.03325306644618467,0.0
3518,0.023321561378035843,0.023321561378035843,0.0
3519,0.02959200140206756,0.02959200140206756,0.0
3520,0.007452491384473484,0.006728218610145778,0.0007242727743277059
3521,-0.002086632829934169,-0.003918425137775658,0.001831792307841489
3522,-0.05769515979004667,-0.05783336866171559,0.00013820887166891838
3523,-0.029242161383197914,-0.029433391359401664,0.00019122997620375087
3524,-0.053061249082365,-0.05345764705249056,0.000396397970125556
3525,-0.021126504619750432,-0.02130041911602165,0.00017391449627121927
3526,-0.04639150545738888,-0.04693894244543582,0.0005474369880469343
3527,-0.06178300030687577,-0.06178300030687577,0.0
3528,0.00012405443810210748,-0.0016244388222925682,0.0017484932603946757
3529,0.027927595964207037,0.02792759596420704,-3.469446951953614e-18
3530,-0.03420350590470026,-0.034557636193947326,0.0003541302892470649
3531,-0.0,-0.0010499285696858854,0.0010499285696858854
3532,-0.0,-0.00026626572448750293,0.00026626572448750293
3533,-0.0,-0.0003474380149938387,0.0003474380149938387
3534,-0.0,-0.0006183372225591308,0.0006183372225591308
3535,-0.0,-0.0001268250526568885,0.0001268250526568885
3536,-0.0,-0.0009315411688713164,0.0009315411688713164
3537,-0.0,-0.0005455190313783205,0.0005455190313783205
3538,0.0008304372089288619,0.0005999174740701924,0.00023051973485866946
3539,-0.0,-0.0002783202490352738,0.0002783202490352738
3540,-0.0,-6.83013953228597e-05,6.83013953228597e-05
3541,3.261280134836397e-18,-0.0009663650872846613,0.0009663650872846646
3542,-0.000830437208928866,-0.0029542000382670767,0.0021237628293382105
3543,-0.0,-0.0004495622493814169,0.0004495622493814169
3544,-0.0,-0.0008151289369671114,0.0008151289369671114
3545,-0.0,-0.0003100677470004612,0.0003100677470004612
3546,-0.0,-0.00027913294637764804,0.00027913294637764804
3547,-0.0,-0.0006046693060833391,0.0006046693060833391
3548,-0.0,-0.0001942715784303015,0.0001942715784303015
3549,-0.0,-0.000264886192276455,0.000264886192276455
3550,-0.0,-0.0007864180856221322,0.0007864180856221322
3551,-0.0,-0.00074517810436936,0.00074517810436936
3552,-0.0,-0.00019177866895141955,0.00019177866895141955
3553,0.005869996921166997,0.005775081806382291,9.491511478470528e-05
3554,-0.0,-0.0004652839694273266,0.0004652839694273266
3555,-0.0,-0.000646170668042755,0.000646170668042755
3556,-0.0,-0.0002341984545298227,0.0002341984545298227
3557,-0.0,-0.00017212287211948525,0.00017212287211948525
3558,0.014469486530636693,0.014467156059353179,2.3304712835139907e-06
3559,-9.227252531791527e-18,-0.00015297323932962175,0.00015297323932961254
3560,-0.020339483451803683,-0.02118195364958369,0.0008424701977800056
3561,-0.0,-0.0004242744862353187,0.0004242744862353187
3562,-0.0,-0.0005411504286327645,0.0005411504286327645
3563,-0.0,-0.0005706456276872029,0.0005706456276872029
3564,-0.0,-0.0003798858267336771,0.0003798858267336771
3565,-0.0,-4.1760923923712914e-05,4.1760923923712914e-05
3566,-0.0,-0.00010756219028927754,0.00010756219028927754
3567,-0.0,-0.00023314225179853733,0.00023314225179853733
3568,-0.0,-6.218165274204651e-05,6.218165274204651e-05
3569,-0.0,-0.0001989693155689028,0.0001989693155689028
3570,0.0045856394212767035,0.004352341697125899,0.0002332977241508048
3571,-2.7681757595374582e-17,-0.0005503807085523801,0.0005503807085523525
3572,-0.004585639421276678,-0.004624700856423029,3.906143514635033e-05
3573,-0.0,-0.0004785331218075624,0.0004785331218075624
3574,-0.0,-7.337473833064842e-05,7.337473833064842e-05
3575,-0.0,-0.0005250014294790706,0.0005250014294790706
3576,-0.0,-0.00022111603365970473,0.00022111603365970473
3577,-0.0,-0.000659054662157229,0.000659054662157229
3578,-0.0,-0.00045096641032503043,0.00045096641032503043
3579,-0.0,-0.0011143527520594077,0.0011143527520594077
3580,-0.0,-0.0008006008764870664,0.0008006008764870664
3581,-0.0,-9.429374863263987e-05,9.429374863263987e-05
3582,-0.0,-0.0002772069645280675,0.0002772069645280675
3583,-0.0,-0.0002763470968209266,0.0002763470968209266
3584,-0.0,-0.000507942514606506,0.000507942514606506
3585,-0.0,-0.00021079804983011085,0.00021079804983011085
3586,-0.0,-0.0001463770387398697,0.0001463770387398697
3587,-0.0,-0.0003438606651251054,0.0003438606651251054
