source,period,capacity_mwh,reserve_mw,supply_mw,deficit_mwh,request_mwh,hydrogen_energy_mwh,hours,restarts,deficit_pct
Belgium,evaluation,4.0,0.5,0.0,65.67462569219033,725.6557537678704,148.94808747338996,5064.0,0,9.05038309848487
Belgium,evaluation,4.0,0.5,0.025,32.095386669957406,725.6557537678704,241.27578088220375,5064.0,0,4.422949381067594
Belgium,evaluation,4.0,0.5,0.05,15.202526787683789,725.6557537678704,351.5156840403883,5064.0,0,2.0950053394804224
Belgium,evaluation,4.0,0.5,0.1,1.478730381723523,725.6557537678704,591.8781878178451,5064.0,0,0.20377849607688128
Belgium,evaluation,4.0,0.5,0.2,1.548679368425929e-09,725.6557537678704,1098.4132577655917,5064.0,0,2.1341791343686296e-10
Belgium,evaluation,4.0,0.5,0.4,1.5589312066245997e-09,725.6557537678704,2111.613940737566,5064.0,0,2.1483068225257747e-10
Belgium,evaluation,4.0,0.75,0.0,121.77984688112222,1088.483630651736,241.72492174153965,5064.0,0,11.188027403609722
Belgium,evaluation,4.0,0.75,0.025,82.62857052475395,1088.483630651736,327.5454332303881,5064.0,0,7.591163357714404
Belgium,evaluation,4.0,0.75,0.05,56.742971315643565,1088.483630651736,427.3146828461413,5064.0,0,5.213029366520503
Belgium,evaluation,4.0,0.75,0.1,25.23015577215088,1088.483630651736,648.2780245279198,5064.0,0,2.317917795148116
Belgium,evaluation,4.0,0.75,0.2,4.881758414997137,1088.483630651736,1135.2650563361788,5064.0,0,0.44849167020308384
Belgium,evaluation,4.0,0.75,0.4,3.7641501943796225,1088.483630651736,2147.558771326353,5064.0,0,0.34581596712904317
Belgium,evaluation,8.0,0.25,0.0,10.542899262215755,362.8278768839352,49.51198889962557,5064.0,0,2.9057577804553087
Belgium,evaluation,8.0,0.25,0.025,2.7426996130298813e-09,362.8278768839352,167.48450822000544,5064.0,0,7.559230664922812e-10
Belgium,evaluation,8.0,0.25,0.05,3.0107513160266663e-09,362.8278768839352,295.13507317148157,5064.0,0,8.298015416797134e-10
Belgium,evaluation,8.0,0.25,0.1,3.08890201199822e-09,362.8278768839352,549.2066288828053,5064.0,0,8.51340872296405e-10
Belgium,evaluation,8.0,0.25,0.2,3.1144452418711045e-09,362.8278768839352,1055.806970368807,5064.0,0,8.583809129052625e-10
Belgium,evaluation,8.0,0.25,0.4,3.1002246722518183e-09,362.8278768839352,2068.6108971594285,5064.0,0,8.544615421718402e-10
Belgium,evaluation,8.0,0.5,0.0,44.256151726201,725.6557537678704,124.18735328501977,5064.0,0,6.098780516299478
Belgium,evaluation,8.0,0.5,0.025,16.28823955546187,725.6557537678704,223.82092707379874,5064.0,0,2.244623496869882
Belgium,evaluation,8.0,0.5,0.05,5.461703056598058,725.6557537678704,340.9330422376898,5064.0,0,0.7526575829157139
Belgium,evaluation,8.0,0.5,0.1,2.9847143707664477e-09,725.6557537678704,590.2701463430448,5064.0,0,4.113127134000823e-10
Belgium,evaluation,8.0,0.5,0.2,3.0727027481174358e-09,725.6557537678704,1098.4132577656121,5064.0,0,4.234380740678811e-10
Belgium,evaluation,8.0,0.5,0.4,3.0960676896202913e-09,725.6557537678704,2111.613940737581,5064.0,0,4.2665791231508523e-10
Belgium,evaluation,8.0,0.75,0.0,84.38868876314079,1088.483630651736,205.6029336821779,5064.0,0,7.7528670516259925
Belgium,evaluation,8.0,0.75,0.025,49.62468794344877,1088.483630651736,296.51138239848814,5064.0,0,4.559066075595064
Belgium,evaluation,8.0,0.75,0.05,28.036645961761547,1088.483630651736,402.47038701667077,5064.0,0,2.575752650039803
Belgium,evaluation,8.0,0.75,0.1,6.832762949632638,1088.483630651736,635.2731901651913,5064.0,0,0.6277322650724184
