day,baseline,seconds,blocks,delta_optimism_mwh,span_underestimate_mean_mwh,span_underestimate_max_mwh,native_throughput_mwh,omitted_throughput_mwh
2025-01-06,-0.25,300,96,0.008371393819769767,0.0004577356136774957,0.00604298814435239,5.637653668015673,0.1352080788764633
2025-01-06,-0.25,900,96,0.016690125443573775,0.0011412052084308968,0.035759335737714816,5.637653668015673,0.26956559994820994
2025-01-06,0.0,1,96,0.0,0.0,0.0,1.701432147719797,0.0
2025-01-06,0.0,60,96,0.00032083630947017975,1.596149434240492e-05,0.0008854486045013835,1.701432147719797,0.005181892283540676
2025-01-06,0.0,300,96,0.0032302044111440593,0.00018408547856958615,0.004702977813809288,1.701432147719797,0.05217168636555812
2025-01-06,0.0,900,96,0.01426570846872062,0.0010589636297530954,0.026810792635414527,1.701432147719797,0.23040834983844521
2025-01-06,0.25,1,96,0.0,0.0,0.0,6.838398105981476,0.0
2025-01-06,0.25,60,96,0.0003227066999787198,1.678705971308319e-05,0.000766313197514655,6.838398105981476,0.005212101339477606
2025-01-06,0.25,300,96,0.002246290491466396,0.00014251798257629582,0.008944813682032808,6.838398105981476,0.036280293160757676
2025-01-06,0.25,900,96,0.0050108401654066605,0.0003549172761995497,0.022001098578422397,6.838398105981476,0.08093109545463761
2025-01-07,-0.25,1,96,0.0,0.0,0.0,6.866663267705619,0.0
2025-01-07,-0.25,60,96,0.0006598993433457392,3.4814334261362386e-05,0.0009742822863076858,6.866663267705619,0.01065816808878501
2025-01-07,-0.25,300,96,0.001662493109522968,7.669327145620846e-05,0.0011870876822967294,6.866663267705619,0.026851263281338814
2025-01-07,-0.25,900,96,0.005214836938803466,0.0003945934566366652,0.01671988140083068,6.866663267705619,0.0842258887027075
2025-01-07,0.0,1,96,0.0,0.0,0.0,1.9235568626448547,0.0
2025-01-07,0.0,60,96,0.0002878923507461501,1.0838614845139286e-05,0.000402717081520107,1.9235568626448547,0.004649807726831108
2025-01-07,0.0,300,96,0.0036654970529725883,0.0001760826141299956,0.005449184774935439,1.9235568626448547,0.059202186078940705
2025-01-07,0.0,900,96,0.012071310199304842,0.0008478515966397442,0.023879195269651057,1.9235568626448547,0.1949661784767464
2025-01-07,0.25,1,96,0.0,0.0,0.0,5.555271894969998,0.0
2025-01-07,0.25,60,96,0.001039355562407547,3.599216946787611e-05,0.0004537265843963245,5.555271894969998,0.016786842416604955
2025-01-07,0.25,300,96,0.00830179179480924,0.0003648071464656102,0.005354279870598687,5.555271894969998,0.13408392245883227
2025-01-07,0.25,900,96,0.015263433227044761,0.0009253538715719295,0.014477576724408359,5.555271894969998,0.24652280469768637
