period,capacity_mwh,reserve_mw,supply_mw,model,native_deficit_mwh,predicted_deficit_mwh,requested_reserve_mwh,hydrogen_energy_mwh,baseline_charge_mwh,maximum_state_error_mwh,initial_inventory_mwh,terminal_inventory_mwh,hours,native_deficit_pct,predicted_deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh,restored_hydrogen_change_mwh
calibration,0.25,0.75,0.75,gross,60.07505625204184,0.0,313.00547608849115,3294.871712934819,-37.6217129348188,0.0496693378792527,0.125,0.1709031880767877,4343.0,19.192972916249477,,-0.043148996792180434,3294.914861931611,37.664861931611085
calibration,0.25,0.75,0.75,minute,61.26658073502113,61.330777107659706,313.00547608849115,3294.3923328753226,-37.14233287532236,0.0055756608508999,0.125,0.1626338122006322,4343.0,19.573645004760294,19.594154669140874,-0.03537578346859426,3294.4277086587913,37.17770865879129
calibration,0.25,0.75,0.75,native,61.40578532920957,61.40578532920957,313.00547608849115,3294.0885547499342,-36.838554749934055,0.0,0.125,0.1627074882213569,4343.0,19.618118537916338,19.618118537916338,-0.035445038928075476,3294.1239997888624,36.87399978886242
calibration,0.25,0.75,0.75,quarter,59.44265595638288,58.96910086673935,313.00547608849115,3297.767796207524,-40.51779620752423,0.0709943494488107,0.125,0.1694490855356428,4343.0,18.990931628166653,18.839638719313633,-0.04178214040350424,3297.8095783479275,40.55957834792753
calibration,0.5,0.25,0.25,5minute,0.4573833671722569,5.58395587681183e-13,104.33515869615918,1103.530298368887,-17.78029836888714,0.2143029696349739,0.25,0.1440868173408447,4343.0,0.4383789442485357,5.35194075189286e-13,0.11267359857356948,1103.4176247703135,17.667624770313523
calibration,0.5,0.25,0.25,envelope,1.671189738254315e-10,0.0,104.33515869615918,1102.9326885029436,-17.18268850294356,5.334344077567721e-13,0.25,0.2586629326208137,4343.0,1.601751278417172e-10,0.0,-0.008143156663564868,1102.9408316596073,17.190831659607284
calibration,0.5,0.25,0.25,gross,1.671189738254315e-10,0.0,104.33515869615918,1102.9326885029436,-17.18268850294356,5.334344077567721e-13,0.25,0.2586629326208137,4343.0,1.601751278417172e-10,,-0.008143156663564868,1102.9408316596073,17.190831659607284
calibration,0.5,0.25,0.25,minute,0.015388209176229543,2.7988041681901077e-12,104.33515869615918,1103.0624122029092,-17.312412202909062,0.1139949159937977,0.25,0.1446791166513329,4343.0,0.01474882423962424,2.6825129737336933e-12,0.11204349292411395,1102.950368709985,17.200368709985014
calibration,0.5,0.25,0.25,native,1.6740104129271429e-10,1.6740104129271429e-10,104.33515869615918,1102.9326885029432,-17.182688502943268,0.0,0.25,0.2586629326208874,4343.0,1.6044547531691893e-10,1.6044547531691893e-10,-0.008143156663634164,1102.9408316596068,17.19083165960683
calibration,0.5,0.25,0.25,quarter,1.3136718983707618,1.8814228408530852e-13,104.33515869615918,1104.4362674666766,-18.68626746667653,0.2441053367708221,0.25,0.1436412472559318,4343.0,1.2590884173535273,1.8032491294062167e-13,0.11314760930220022,1104.3231198573744,18.573119857374422
calibration,0.5,0.25,0.5,5minute,0.4573833671722569,5.58395587681183e-13,104.33515869615918,2189.280298368887,-17.78029836888714,0.2143029696349739,0.25,0.1440868173408447,4343.0,0.4383789442485357,5.35194075189286e-13,0.11267359857356948,2189.1676247703135,17.667624770313523
calibration,0.5,0.25,0.5,envelope,1.671189738254315e-10,0.0,104.33515869615918,2188.6826885029436,-17.18268850294356,5.334344077567721e-13,0.25,0.2586629326208137,4343.0,1.601751278417172e-10,0.0,-0.008143156663564868,2188.6908316596073,17.190831659607284
calibration,0.5,0.25,0.5,gross,1.671189738254315e-10,0.0,104.33515869615918,2188.6826885029436,-17.18268850294356,5.334344077567721e-13,0.25,0.2586629326208137,4343.0,1.601751278417172e-10,,-0.008143156663564868,2188.6908316596073,17.190831659607284
calibration,0.5,0.25,0.5,minute,0.015388209176229543,2.7988041681901077e-12,104.33515869615918,2188.812412202909,-17.312412202909062,0.1139949159937977,0.25,0.1446791166513329,4343.0,0.01474882423962424,2.6825129737336933e-12,0.11204349292411395,2188.700368709985,17.200368709985014
calibration,0.5,0.25,0.5,native,1.6740104129271429e-10,1.6740104129271429e-10,104.33515869615918,2188.682688502943,-17.182688502943268,0.0,0.25,0.2586629326208874,4343.0,1.6044547531691893e-10,1.6044547531691893e-10,-0.008143156663634164,2188.690831659607,17.19083165960683
calibration,0.5,0.25,0.5,quarter,1.3136718983707618,1.8814228408530852e-13,104.33515869615918,2190.1862674666763,-18.68626746667653,0.2441053367708221,0.25,0.1436412472559318,4343.0,1.2590884173535273,1.8032491294062167e-13,0.11314760930220022,2190.073119857374,18.573119857373968
calibration,0.5,0.25,0.75,5minute,0.4573833671722569,5.58395587681183e-13,104.33515869615918,3275.030298368887,-17.78029836888714,0.2143029696349739,0.25,0.1440868173408447,4343.0,0.4383789442485357,5.35194075189286e-13,0.11267359857356948,3274.9176247703135,17.667624770313523
calibration,0.5,0.25,0.75,envelope,1.671189738254315e-10,0.0,104.33515869615918,3274.4326885029436,-17.18268850294356,5.334344077567721e-13,0.25,0.2586629326208137,4343.0,1.601751278417172e-10,0.0,-0.008143156663564868,3274.4408316596073,17.190831659607284
calibration,0.5,0.25,0.75,gross,1.671189738254315e-10,0.0,104.33515869615918,3274.4326885029436,-17.18268850294356,5.334344077567721e-13,0.25,0.2586629326208137,4343.0,1.601751278417172e-10,,-0.008143156663564868,3274.4408316596073,17.190831659607284
calibration,0.5,0.25,0.75,minute,0.015388209176229543,2.7988041681901077e-12,104.33515869615918,3274.5624122029094,-17.312412202909062,0.1139949159937977,0.25,0.1446791166513329,4343.0,0.01474882423962424,2.6825129737336933e-12,0.11204349292411395,3274.4503687099855,17.20036870998547
calibration,0.5,0.25,0.75,native,1.6740104129271429e-10,1.6740104129271429e-10,104.33515869615918,3274.432688502943,-17.182688502943268,0.0,0.25,0.2586629326208874,4343.0,1.6044547531691893e-10,1.6044547531691893e-10,-0.008143156663634164,3274.440831659607,17.19083165960683
calibration,0.5,0.25,0.75,quarter,1.3136718983707618,1.8814228408530852e-13,104.33515869615918,3275.9362674666763,-18.68626746667653,0.2441053367708221,0.25,0.1436412472559318,4343.0,1.2590884173535273,1.8032491294062167e-13,0.11314760930220022,3275.823119857374,18.573119857373968
calibration,0.5,0.5,0.25,5minute,1.5333334566155616,1.2221565215199188,208.67031739231837,1120.9399276104261,-35.189927610426075,0.155782909274002,0.25,0.2682751556702623,4343.0,0.7348114843438711,0.5856877666132831,-0.01717864633004654,1120.957106256756,35.207106256756106
