period,capacity_mwh,eta,horizon_hours,measured_feedback,model,deficit_mwh,requested_mwh,hydrogen_energy_mwh,max_state_error,initial_inventory,terminal_inventory,deficit_pct,terminal_restoration_mwh,restored_hydrogen_energy_mwh
calibration,1.0,0.9,1.0,False,native,1.938327409879902,313.00547608849115,2206.8123318865632,0.0,0.5,0.5015163351839134,0.6192630985573904,-0.001364701665522028,2206.8136965882286
calibration,1.0,0.9,1.0,False,quarter,6.60371039902306,313.00547608849115,2214.3484347730327,0.550531221806859,0.5,0.4835908585590828,2.1097747175375603,0.018232379378796897,2214.330202393654
calibration,1.0,0.9,1.0,True,5minute,1.938327409879902,313.00547608849115,2206.8123318865632,0.0092909719917995,0.5,0.5015163351839134,0.6192630985573904,-0.001364701665522028,2206.8136965882286
calibration,1.0,0.9,1.0,True,envelope,1.938327409879902,313.00547608849115,2206.8123318865632,4.9849013805669535e-14,0.5,0.5015163351839134,0.6192630985573904,-0.001364701665522028,2206.8136965882286
calibration,1.0,0.9,1.0,True,gross,1.938327409879902,313.00547608849115,2206.8123318865632,0.0323727284758722,0.5,0.5015163351839134,0.6192630985573904,-0.001364701665522028,2206.8136965882286
calibration,1.0,0.9,1.0,True,minute,1.938327409879902,313.00547608849115,2206.8123318865632,0.0008906697836748,0.5,0.5015163351839134,0.6192630985573904,-0.001364701665522028,2206.8136965882286
calibration,1.0,0.9,1.0,True,native,1.938327409879902,313.00547608849115,2206.8123318865632,0.0,0.5,0.5015163351839134,0.6192630985573904,-0.001364701665522028,2206.8136965882286
calibration,1.0,0.9,1.0,True,quarter,1.938327409879902,313.00547608849115,2206.8123318865632,0.0323727284758722,0.5,0.5015163351839134,0.6192630985573904,-0.001364701665522028,2206.8136965882286
calibration,1.0,0.94,0.25,False,5minute,1.6177070816702144,313.00547608849115,2224.3404796740974,0.4092807043880451,0.5,0.3900316967235585,0.5168302810181076,0.11698755667706547,2224.2234921174204
calibration,1.0,0.94,0.25,False,envelope,1.2583651072209188,313.00547608849115,2222.387699390018,1.241229341530925e-12,0.5,0.5135299278433195,0.40202654693017603,-0.01271813217272035,2222.4004175221908
calibration,1.0,0.94,0.25,False,gross,1.179079640857891,313.00547608849115,2222.469018180298,0.0309951655620084,0.5,0.5183321639488458,0.3766961701732491,-0.017232234111915094,2222.48625041441
calibration,1.0,0.94,0.25,False,minute,1.1008947065233827,313.00547608849115,2222.820135806838,0.1035751327030541,0.5,0.4460747426315122,0.35171739494172427,0.05736729507285936,2222.7627685117654
calibration,1.0,0.94,0.25,False,native,1.2583651072214765,313.00547608849115,2222.3876993900208,0.0,0.5,0.5135299278430351,0.4020265469303542,-0.012718132172452977,2222.400417522193
calibration,1.0,0.94,0.25,False,quarter,4.212899468503143,313.00547608849115,2227.4096947976027,0.517750634181436,0.5,0.3875701585495497,1.3459507230193302,0.11960621430898971,2227.2900885832937
calibration,1.0,0.94,0.25,True,5minute,1.2583651072214765,313.00547608849115,2222.3876993900208,0.0088956114815131,0.5,0.5135299278430351,0.4020265469303542,-0.012718132172452977,2222.400417522193
calibration,1.0,0.94,0.25,True,envelope,1.2583651072214765,313.00547608849115,2222.3876993900208,4.723998969780042e-14,0.5,0.5135299278430351,0.4020265469303542,-0.012718132172452977,2222.400417522193
calibration,1.0,0.94,0.25,True,gross,1.2583651072214765,313.00547608849115,2222.3876993900208,0.0309951655620084,0.5,0.5135299278430351,0.4020265469303542,-0.012718132172452977,2222.400417522193
calibration,1.0,0.94,0.25,True,minute,1.2583651072214765,313.00547608849115,2222.3876993900208,0.0010595566666448,0.5,0.5135299278430351,0.4020265469303542,-0.012718132172452977,2222.400417522193
calibration,1.0,0.94,0.25,True,native,1.2583651072214765,313.00547608849115,2222.3876993900208,0.0,0.5,0.5135299278430351,0.4020265469303542,-0.012718132172452977,2222.400417522193
calibration,1.0,0.94,0.25,True,quarter,1.2583651072214765,313.00547608849115,2222.3876993900208,0.0309951655620084,0.5,0.5135299278430351,0.4020265469303542,-0.012718132172452977,2222.400417522193
calibration,1.0,0.94,4.0,False,5minute,18.70096004457568,313.00547608849115,2216.168578373185,0.0716182825574297,0.5,0.3231627829223299,5.974643088764572,0.18812469901879797,2215.9804536741663
calibration,1.0,0.94,4.0,False,envelope,19.17917702258547,313.00547608849115,2214.9738553375846,6.530331830845171e-13,0.5,0.3228900038003079,6.127425392763174,0.18841488957414054,2214.7854404480104
